"1111A0","1111A0",3,19748.80
"1111A0","115000",3,353.00
"1111A0","713A00",3,148.00
"1111B0","1111B0",3,37540.50
"1111B0","115000",3,695.00
"1111B0","713A00",3,281.00
"111200","111200",3,14356.10
"111200","115000",3,81.00
"111200","713A00",3,32.00
"111335","111335",3,2157.20
"111335","115000",3,29.00
"111335","713A00",3,14.00
"1113A0","1113A0",3,11054.90
"1113A0","115000",3,134.00
"1113A0","713A00",3,62.00
"111400","111400",3,13353.10
"111400","115000",3,47.00
"111400","713A00",3,15.00
"111910","111910",3,3216.10
"111910","115000",3,45.70
"111910","713A00",3,8.70
"111920","111920",3,6977.60
"111920","115000",3,96.00
"111920","713A00",3,107.00
"1119A0","1119A0",3,2159.20
"1119A0","115000",3,55.00
"1119A0","713A00",3,16.00
"1119B0","1119B0",3,22065.10
"1119B0","115000",3,47.90
"1119B0","713A00",3,14.80
"112100","112100",3,59685.90
"112100","115000",3,504.50
"112100","311612",3,18.90
"112100","713A00",3,342.90
"112300","112300",3,24465.80
"112300","115000",3,86.00
"112300","713A00",3,25.00
"112A00","112A00",3,19577.40
"112A00","113A00",3,96.00
"112A00","115000",3,187.60
"112A00","713A00",3,82.80
"113300","111400",3,32.60
"113300","113300",3,20082.70
"113300","113A00",3,2534.80
"113300","114200",3,1.50
"113300","115000",3,9.70
"113300","321999",3,44.50
"113300","713A00",3,0.20
"113A00","111400",3,18.00
"113A00","113A00",3,4928.00
"114100","114100",3,3582.00
"114200","114200",3,2466.00
"115000","115000",3,12596.00
"211000","211000",3,83339.10
"211000","213111",3,94.00
"211000","213112",3,154.00
"211000","324110",3,7679.00
"211000","325180",3,67.00
"212100","212100",3,23287.00
"212100","212310",3,3.00
"212100","212320",3,6.00
"212100","21311A",3,20.00
"212210","212210",3,1919.00
"212230","212230",3,4361.00
"212230","2122A0",3,171.00
"2122A0","212230",3,12.00
"2122A0","2122A0",3,4756.00
"2122A0","212390",3,8.00
"212310","212100",3,2.00
"212310","212310",3,7442.00
"212310","212320",3,165.00
"212310","212390",3,2.00
"212310","21311A",3,32.00
"212310","324121",3,72.00
"212310","327320",3,43.00
"212310","327410",3,57.00
"212310","327991",3,4.00
"212320","2122A0",3,10.00
"212320","212310",3,89.00
"212320","212320",3,5319.00
"212320","212390",3,13.00
"212320","21311A",3,33.00
"212320","324121",3,37.00
"212320","32712A",3,27.00
"212320","327320",3,24.00
"212320","327331",3,1.00
"212320","327992",3,37.00
"212390","212100",3,3.00
"212390","212310",3,4.00
"212390","212320",3,9.00
"212390","212390",3,2039.00
"212390","21311A",3,4.00
"212390","325180",3,1691.00
"212390","325190",3,2.00
"213111","211000",3,23.00
"213111","213111",3,9140.60
"213111","213112",3,331.00
"213112","211000",3,26.00
"213112","213111",3,369.00
"213112","213112",3,13078.80
"213112","332710",3,11.00
"21311A","212310",3,6.00
"21311A","212320",3,5.00
"21311A","21311A",3,1963.70
"221100","221100",3,192674.70
"221100","221200",3,18354.00
"221100","221300",3,1932.00
"221200","211000",3,381.00
"221200","221200",3,53021.30
"221200","221300",3,11.00
"221300","221300",3,5174.50
"221300","S00203",3,729.20
"230110","230110",3,172439.00
"230120","230120",3,26234.40
"230130","230130",3,57679.00
"230140","230140",3,5429.00
"230210","230210",3,27486.90
"230220","230220",3,190817.60
"230230","230230",3,43401.00
"230240","230240",3,17207.00
"230250","230250",3,90757.00
"230310","230310",3,36383.70
"230320","230320",3,56012.20
"230330","230330",3,12411.20
"230340","230340",3,17832.70
"311111","311111",3,8149.40
"311111","311119",3,32.00
"311119","311111",3,136.00
"311119","311119",3,19845.40
"311119","311211",3,46.00
"311119","311222",3,10.00
"311119","311613",3,60.00
"311119","314120",3,8.00
"311119","325400",3,24.00
"311211","311119",3,109.00
"311211","311211",3,7141.80
"311211","311230",3,96.00
"311211","311822",3,517.00
"311211","311990",3,1.00
"311212","311212",3,2158.10
"311212","311990",3,154.00
"311213","311213",3,768.40
"311221","311221",3,6933.60
"311221","311222",3,3.00
"311221","325190",3,1265.00
"311222","311211",3,168.00
"311222","311222",3,11959.90
"311222","311223",3,22.00
"311222","311225",3,1389.00
"311223","311222",3,30.00
"311223","311223",3,1523.50
"311223","311225",3,72.00
"311225","311221",3,230.00
"311225","311222",3,331.00
"311225","311223",3,80.00
"311225","311225",3,6051.20
"311225","311612",3,39.00
"311225","311613",3,6.00
"311225","311941",3,115.00
"311230","311211",3,15.00
"311230","311230",3,7004.00
"311230","311340",3,179.00
"311230","311420",3,549.00
"311230","311822",3,401.00
"311230","311919",3,162.00
"311230","311990",3,367.00
"311310","311212",3,4.00
"311310","311310",3,7390.30
"311320","311320",3,1555.50
"311320","311330",3,2127.80
"311320","311340",3,164.00
"311330","311223",3,2.00
"311330","311320",3,84.00
"311330","311330",3,6982.70
"311330","311340",3,563.00
"311330","311911",3,166.00
"311340","311310",3,4.00
"311340","311320",3,77.00
"311340","311330",3,215.00
"311340","311340",3,4849.80
"311340","311821",3,11.00
"311340","311930",3,6.00
"311340","311990",3,4.00
"311410","311119",3,51.00
"311410","311410",3,18188.80
"311410","311420",3,390.00
"311410","311612",3,51.00
