"1111A0","1111A0",5,"0.0673300"
"1111A0","112100",5,"0.0002300"
"1111A0","112A00",5,"0.0002200"
"1111A0","311221",5,"0.0170200"
"1111A0","311222",5,"0.6777200"
"1111A0","311223",5,"0.2950500"
"1111A0","311225",5,"0.1059400"
"1111A0","311911",5,"0.0234700"
"1111A0","325110",5,"0.0035700"
"1111A0","325130",5,"0.0001400"
"1111A0","325190",5,"0.0016000"
"1111A0","325400",5,"0.0017300"
"1111B0","1111B0",5,"0.0821200"
"1111B0","111200",5,"0.0022000"
"1111B0","1119B0",5,"0.0001400"
"1111B0","112100",5,"0.0841000"
"1111B0","112300",5,"0.0461000"
"1111B0","112A00",5,"0.1343000"
"1111B0","311111",5,"0.0401900"
"1111B0","311119",5,"0.1780700"
"1111B0","311211",5,"0.4575800"
"1111B0","311212",5,"0.4506300"
"1111B0","311213",5,"0.4603100"
"1111B0","311221",5,"0.3870100"
"1111B0","311230",5,"0.1757400"
"1111B0","311410",5,"0.0031300"
"1111B0","311420",5,"0.0038500"
"1111B0","31181A",5,"0.0132300"
"1111B0","311822",5,"0.0450600"
"1111B0","311830",5,"0.0181300"
"1111B0","311919",5,"0.0636400"
"1111B0","311990",5,"0.0102000"
"1111B0","312120",5,"0.0006300"
"1111B0","312140",5,"0.0063700"
"1111B0","325190",5,"0.0049600"
"1111B0","339994",5,"0.0039500"
"1111B0","622000",5,"0.0000100"
"1111B0","623000",5,"0.0000400"
"1111B0","624A00",5,"0.0001000"
"1111B0","721A00",5,"0.0000100"
"1111B0","722000",5,"0.0041500"
"1111B0","813B00",5,"0.0000100"
"111200","111200",5,"0.0299700"
"111200","1113A0",5,"0.0021100"
"111200","112100",5,"0.0003700"
"111200","112A00",5,"0.0003000"
"111200","311410",5,"0.0549700"
"111200","311420",5,"0.0432800"
"111200","31181A",5,"0.0003100"
"111200","311919",5,"0.0531200"
"111200","311941",5,"0.0042500"
"111200","311990",5,"0.0210000"
"111200","325190",5,"0.0002800"
"111200","483000",5,"0.0000500"
"111200","48A000",5,"0.0000100"
"111200","622000",5,"0.0002900"
"111200","623000",5,"0.0007100"
"111200","624A00",5,"0.0007300"
"111200","713A00",5,"0.0000200"
"111200","7211A0",5,"0.0000000"
"111200","721A00",5,"0.0001400"
"111200","722000",5,"0.0047900"
"111200","813B00",5,"0.0000800"
"111200","S00102",5,"0.0012800"
"111335","111335",5,"0.0085000"
"111335","311221",5,"0.0000600"
